REPORT_DATE,TOTAL_DOD,HOLDING_PEDIATRIC_DOD,GAP_ELIG_COMBO_DIAG_ONLY_DOD,GAP_ELIG_COMBO_INS_ONLY_DOD,GAP_ELIG_COMBO_PROV_ONLY_DOD,GAP_ELIG_COMBO_DIAG_AND_INS_DOD,GAP_ELIG_COMBO_DIAG_AND_PROV_DOD,GAP_ELIG_COMBO_INS_AND_PROV_DOD,GAP_ELIG_COMBO_DIAG_INS_PROV_DOD,GAP_ELIG_COMBO_NO_PROGRAM_DOD,GAP_MKT_CIO_ERROR_DOD,GAP_MKT_RESTRICTED_DOD,GAP_MKT_PROVIDER_NF_DOD,GAP_MKT_HIGH_COPAY_DOD,GAP_MKT_AWAITING_BI_DOD,GAP_MKT_NEW_PATIENTS_DOD,GAP_MKT_NOT_INTERESTED_DOD,GAP_MKT_OTHER_DOD,AWAITING_BI_DOD,BI_COMPLETE_DOD,AWAITING_NEXT_CAMPAIGN_DOD,IN_CAMPAIGN_DOD,AWAITING_DEVICE_SHIPMENT_DOD,AWAITING_DEVICE_DELIVERY_DOD,AWAITING_ACTIVATION_DOD,DAILY_CONSENTS,DAILY_DISENROLLMENTS,DAILY_ACTIVATIONS,REMOVALS_NOT_INTERESTED,REMOVALS_NON_COMPLIANCE,REMOVALS_HIGH_COPAY,REMOVALS_GOALS_MET,REMOVALS_DECEASED,REMOVALS_OTHER,REMOVALS_THROUGH_APP,ACTIVE_COUNT,ACTIVE_COUNT_DOD
11/13/25,-470,-12,-199,-51,0,-113,-46,-4,-25,0,0,-3,0,0,-459,0,115,0,-458,0,92,232,-6,16,-10,18,6,14,8,0,1,1,1,3,0,8029,0
11/14/25,420,6,-9,127,0,7,1,2,0,0,0,210,0,0,-205,0,78,0,-204,-2,31,133,7,-1,5,33,4,23,3,0,0,1,0,1,0,8029,0
11/15/25,10,0,12,4,1,3,0,1,1,0,0,7,0,0,-21,0,5,0,-21,0,-9,34,8,-5,-3,5,0,5,0,0,0,0,0,0,0,8029,0
11/16/25,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0,0,0,-4,9,1,0,-6,1,0,5,0,0,0,0,0,0,0,8029,0
11/17/25,36,0,-68,36,1,-14,-2,0,-1,0,0,11,0,0,-104,0,67,0,-108,4,19,83,38,-38,8,45,6,20,4,0,1,2,0,2,0,8029,0
11/18/25,-31,0,0,7,0,0,0,0,0,0,0,-354,0,0,-232,0,58,0,-230,-2,346,137,28,-5,-12,36,4,16,2,1,0,0,1,4,0,8029,0
11/19/25,-18,0,-7,3,2,-2,1,1,1,0,0,-564,0,0,-21,0,76,0,-21,0,366,101,-10,39,-6,36,3,15,1,2,1,0,0,2,0,8029,0
11/20/25,166,0,0,60,0,-2,0,0,0,0,0,17,0,0,-136,0,98,0,-137,1,-488,601,24,0,-10,32,4,6,3,3,5,0,0,0,0,8029,0
11/21/25,646,2,115,188,4,120,-6,-8,6,0,0,101,0,0,20,0,97,0,24,-3,-15,10,-106,102,13,20,0,8,2,4,1,1,0,0,0,8029,0
11/22/25,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,13,0,2,0,-24,7,1,-4,-3,0,0,2,0,0,0,0,0,0,0,8029,0
11/23/25,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,0,-4,0,-6,0,-7,17,0,0,-9,0,0,2,0,0,0,0,0,0,0,8029,0
11/24/25,23,0,-5,7,4,5,10,0,1,0,0,3,0,0,-92,0,95,0,-92,0,-139,139,15,-46,28,25,15,24,3,7,0,3,0,4,0,8029,0
11/25/25,-23,3,9,-1,-1,-3,-6,-2,-1,0,0,-2,0,0,-10,0,91,0,-10,0,281,-392,2,22,-14,28,29,12,4,6,0,2,1,1,0,8029,0
11/26/25,-35,0,3,6,0,-1,0,0,-1,0,0,8,0,0,-97,0,105,0,-97,0,214,-266,-10,-18,21,15,7,15,1,1,0,0,0,6,0,8029,0
11/27/25,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,5,0,-2,0,4,-10,1,0,-12,2,0,4,0,0,0,0,0,0,0,8029,0
11/28/25,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-116,114,-12,-53,58,1,0,9,0,0,0,0,0,0,0,8029,0
11/29/25,-17,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,-13,0,-15,-10,1,0,6,0,0,0,0,0,0,0,8029,0
11/30/25,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,-8,2,0,5,0,0,0,0,0,0,0,8029,0
12/1/25,-75,0,-1,-8,-2,1,0,0,0,0,0,-4,0,0,-8,0,76,0,-8,0,163,-301,26,-13,-7,37,2,31,5,4,2,1,0,2,0,8212,183
12/2/25,-81,0,-7,-12,-2,-7,-4,-1,-3,0,0,-50,0,0,7,0,79,0,5,2,281,-361,-13,27,-17,24,6,18,0,4,3,0,0,4,0,8212,0
12/3/25,-33,0,5,-3,0,0,0,0,0,0,0,-3,0,0,-20,0,93,0,-18,-2,108,-210,7,11,-22,28,4,21,1,3,1,2,0,2,0,8212,0
12/4/25,150,0,24,2,35,-18,12,24,22,0,0,20,0,0,64,0,-142,0,62,2,-654,736,-1,20,6,27,2,17,3,1,0,0,2,3,0,8212,0
12/5/25,88,2,-1,2,29,-4,9,28,2,0,0,83,-3,0,-17,0,120,0,-16,0,138,-292,0,12,-15,35,0,15,1,3,0,0,4,7,0,8212,0
12/6/25,61,2,6,22,0,3,0,0,0,0,0,50,0,0,0,0,6,0,0,0,-11,-4,2,-27,12,3,0,11,0,0,0,0,0,0,0,8212,0
12/7/25,-8,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-11,0,1,0,-14,23,0,-1,-5,0,13,7,0,1,0,0,0,2,0,8212,0
12/8/25,19,1,-3,13,0,0,0,0,0,0,0,539,0,0,0,0,64,0,-1,1,-406,-191,-10,10,2,26,6,15,5,5,3,0,1,6,0,8212,0
12/9/25,-15,0,-4,1,12,-3,10,1,3,0,1,-8,0,0,-10,0,99,0,-14,4,-31,-95,15,12,-15,26,3,13,4,6,3,2,1,8,0,8212,0
12/10/25,-26,0,4,5,0,0,0,0,0,0,-1,504,0,0,-110,0,-86,0,-109,-1,-168,-169,-20,19,-7,13,4,18,4,1,1,1,0,4,0,8212,0
12/11/25,-24,-1,30,-24,4,-27,2,-3,-2,0,0,9,0,0,-18,0,106,0,-18,-1,-14,-89,3,-17,11,19,8,19,2,3,1,1,1,6,0,8212,0
12/12/25,72,0,51,42,9,-5,-3,1,1,0,1,-15,0,0,55,0,61,0,54,1,72,-196,4,-6,-3,29,10,21,6,5,0,2,0,2,0,8212,0
12/13/25,-8,0,0,0,0,0,0,0,0,0,-1,4,0,0,-5,0,0,0,-6,1,-5,5,1,-26,19,4,0,8,0,0,0,0,0,0,0,8212,0
12/14/25,-10,0,0,0,0,0,0,0,0,0,0,3,0,0,-3,0,-5,0,0,-3,-31,35,0,-4,-5,1,3,6,0,0,0,0,0,3,0,8212,0
12/15/25,194,3,-186,-202,535,-46,194,262,51,0,0,-386,0,0,6,0,36,0,2,5,-262,216,-1,-1,-15,31,9,15,4,0,0,2,0,5,0,8212,0
